-50,0.136200716845878,0.0439964157706093
-25,0.103942652329749,0.0777562724014337
-22,0.136200716845878,0.0840143369175627
-19,0.157706093189964,0.0908279569892473
-16,0.136200716845878,0.123899641577061
-16,0.136200716845878,0.121591397849462
-12,0.175627240143369,0.112415770609319
-8,0.121863799283154,0.125254480286738
-4,0.136200716845878,0.145293906810036
2,0.232974910394265,0.180258064516129
7,0.315412186379928,0.311250896057348
8,0.279569892473118,0.21758064516129
10,0.344086021505376,0.339082437275985
11,0.458781362007168,0.547182795698925
13,0.326164874551971,0.372250896057348
16,0.369175627240143,0.338401433691756
16,0.344086021505376,0.351878136200717
20,0.433691756272401,0.448100358422939
24,0.46594982078853,0.498311827956989
25,0.505376344086022,0.360935483870968
27,0.60573476702509,0.526279569892473
32,0.78494623655914,0.73794982078853
33,0.591397849462366,0.587702508960573
35,0.817204301075269,0.758347670250896
36,0.584229390681004,0.44636917562724
38,0.810035842293907,0.780111111111111
39,0.67741935483871,0.640390681003584
40,0.845878136200717,0.782537634408602
44,0.881720430107527,0.812093189964158
46,0.724014336917563,0.68421146953405
47,0.838709677419355,0.822663082437276
50,0.781362007168459,0.699548387096773
50,0.745519713261649,0.682186379928315
55,0.870967741935484,0.790243727598566
55,0.842293906810036,0.802469534050179
61,0.888888888888889,0.866071684587814
65,0.845878136200717,0.796745519713261
67,0.899641577060932,0.877928315412187
68,0.698924731182796,0.688279569892474
75,0.942652329749104,0.899673835125449
79,0.896057347670251,0.85821146953405
84,0.946236559139785,0.909802867383513
92,0.817204301075269,0.811193548387097
96,0.896057347670251,0.906512544802867
96,0.896057347670251,0.905720430107527
112,0.921146953405018,0.943275985663082
119,0.881720430107527,0.922354838709677
125,0.917562724014337,0.890444444444444
132,0.96415770609319,0.95636917562724
150,0.960573476702509,0.955143369175628
160,0.953405017921147,0.965168458781362
175,0.924731182795699,0.942150537634408
197,0.949820788530466,0.974544802867383
202,0.953405017921147,0.973093189964158
258,0.953405017921147,0.976548387096774
273,0.953405017921147,0.9844229390681
276,0.96415770609319,0.986129032258064
415,0.978494623655914,0.993215053763441
425,0.978494623655914,0.993508960573477
435,0.96415770609319,0.994440860215054
